epoch,train_loss,dev_loss,learning_rate,fold
1,0.6771458374385972,0.5760492345561152,0.0001,1
2,0.39904392371743413,0.4181469782539036,0.0001,1
3,0.26608286076394466,0.3713180370952772,0.0001,1
4,0.19598465638356982,0.3500213827127996,0.0001,1
5,0.14424780364312936,0.3214075387172077,0.0001,1
6,0.07733879874846007,0.3340223340884499,5e-05,1
1,0.7959800281767118,0.6238775771597157,0.0001,2
2,0.445140606013395,0.43565130881641223,0.0001,2
3,0.28768856796384146,0.3694839963446493,0.0001,2
4,0.20665826466268258,0.34400111404450046,0.0001,2
5,0.1537611606884883,0.31326679755812104,0.0001,2
6,0.11810816336901223,0.3525144895133765,0.0001,2
7,0.06534979148817499,0.33419767734797107,5e-05,2
1,0.7435627573916179,0.5819352437620577,0.0001,3
2,0.4126605349288437,0.4188566538302795,0.0001,3
3,0.2688545565916897,0.3664583486059438,0.0001,3
4,0.1934169941372069,0.33963803169520007,0.0001,3
5,0.14604383207785449,0.32238619126703427,0.0001,3
6,0.1112364014096504,0.3371466906822246,0.0001,3
7,0.058720458652254774,0.3669864541810492,5e-05,3
1,0.74683089204331,0.5843678039053212,0.0001,4
2,0.41428292172872994,0.501318009003349,0.0001,4
3,0.2737959796161398,0.35950920568860095,0.0001,4
4,0.20032334084155773,0.3585639803305916,0.0001,4
5,0.1226699880795603,0.2977233457824458,5e-05,4
6,0.09257695988975195,0.2974869252546974,5e-05,4
7,0.07230474404904982,0.31341994586198224,5e-05,4
8,0.057006907577177655,0.3715727685586266,5e-05,4
9,0.03751162438714436,0.3936790943793628,2.5e-05,4
1,0.6825570062921353,0.5586302086063053,0.0001,5
2,0.4020543560999069,0.4152951823628467,0.0001,5
3,0.2672915717916108,0.3576394993325938,0.0001,5
4,0.19397815915848382,0.36986033683237823,0.0001,5
5,0.1451286055670812,0.32403236336034275,0.0001,5
6,0.08300082338297374,0.31503619318423065,5e-05,5
7,0.06183237625628746,0.34628694245348807,5e-05,5
8,0.04844214548586561,0.38832253509241604,5e-05,5
9,0.032021209122897416,0.4384563915107561,2.5e-05,5
1,48.95700185408604,3.229315757751465,0.0001,6
2,49.072123151137234,3.230535978856294,0.0001,6
3,49.07697351561909,3.2285862383635147,0.0001,6
4,49.06242239446386,3.2306007509646206,0.0001,6
5,49.057572020745454,3.2291448271792866,0.0001,6
6,49.05999720760465,3.226701964502749,0.0001,6
7,49.064847581323065,3.22918002501778,0.0001,6
8,49.06727276818227,3.227349395337312,0.0001,6
9,49.072123151137234,3.2289001008738643,0.0001,6
10,49.05272164702704,3.2271740695704585,0.0001,6
1,0.6681452783920574,0.5687449885451276,0.0001,7
2,0.39252583873762636,0.41645000615845557,0.0001,7
3,0.2640617413685339,0.3637619368408037,0.0001,7
4,0.19277026035234368,0.34466253156247345,0.0001,7
5,0.1450430728477081,0.33900125875421194,0.0001,7
6,0.08247733837868522,0.31475458456122357,5e-05,7
7,0.06123185190811897,0.33076897036770114,5e-05,7
1,0.6685853097542723,0.5764660381752512,0.0001,8
2,0.39369241987100234,0.40538066042506177,0.0001,8
3,0.263954020802103,0.3532029021045436,0.0001,8
4,0.19230220851107313,0.36086146922215173,0.0001,8
5,0.14486370945561308,0.3309479595526405,0.0001,8
6,0.08195885406698825,0.3152477022098458,5e-05,8
1,0.6800244090487825,0.5730803660724474,0.0001,9
2,0.39993208632342175,0.42528483271598816,0.0001,9
3,0.2656744290098151,0.3645069625066674,0.0001,9
4,0.19573435771840536,0.32009178076101386,0.0001,9
5,0.14769676830123468,0.304058201611042,0.0001,9
6,0.08766830749990144,0.2996877846510514,5e-05,9
1,0.6603513067773121,0.5623316324275472,0.0001,10
2,0.3881519043561044,0.4308556894893232,0.0001,10
3,0.2670664290286438,0.40640037474424945,0.0001,10
4,0.1915365731835221,0.3432070535162221,0.0001,10
5,0.1398203172754794,0.3311471281492192,0.0001,10
6,0.11056126814592657,0.3478953540325165,0.0001,10
7,0.058578009744508525,0.36892493133959564,5e-05,10
8,0.04243856515384732,0.42545808398205304,5e-05,10
