epoch,train_loss,dev_loss,learning_rate,fold
1,0.687347742604863,0.6783551405305448,1e-05,1
2,0.6553121388102848,0.6294780490191086,1e-05,1
3,0.5884134720370499,0.5522051259227421,1e-05,1
4,0.5048586905146916,0.48087974281414697,1e-05,1
5,0.43340907662601796,0.4234682146621787,1e-05,1
6,0.37705801654670196,0.3843899719093157,1e-05,1
7,0.3385674129747594,0.3584338109130445,1e-05,1
8,0.30784264509960757,0.34023460486660834,1e-05,1
9,0.2835744002035686,0.3278960718408875,1e-05,1
10,0.26411986587339104,0.3182761157336442,1e-05,1
11,0.2460259088736758,0.3120146523351255,1e-05,1
12,0.23119367927890136,0.3092370674661968,1e-05,1
13,0.2177941743058962,0.303358551600705,1e-05,1
14,0.20481786377204822,0.30094601246325864,1e-05,1
15,0.19325831135595103,0.2993264110839885,1e-05,1
16,0.18300954007135464,0.29955840888230695,1e-05,1
17,0.1726392288004515,0.30034764823706256,5e-06,1
18,0.16794778108957606,0.3000483337951743,5e-06,1
19,0.16305887866900562,0.30060599290806317,5e-06,1
20,0.15855926727158973,0.3006132429708605,2.5e-06,1
1,0.6876174911459768,0.6787397096986356,1e-05,2
2,0.6574915765850077,0.6331547537575597,1e-05,2
3,0.5900574283218846,0.5604671077883762,1e-05,2
4,0.5071984725772035,0.4901078233252401,1e-05,2
5,0.43324380860490314,0.4413594020449597,1e-05,2
6,0.3798330629348178,0.4062757168127143,1e-05,2
7,0.34012785178697136,0.38398715529752814,1e-05,2
8,0.3085850989558795,0.36641608567341516,1e-05,2
9,0.2832712731696214,0.35699495414029,1e-05,2
10,0.2629470013749513,0.3460017620869305,1e-05,2
11,0.24616637706900912,0.33931298230005347,1e-05,2
12,0.23035605360029973,0.340570337422516,1e-05,2
13,0.21664441346256266,0.3306966355961302,1e-05,2
14,0.20407635624775297,0.32960702090159705,1e-05,2
15,0.19287541523106738,0.3296358957886696,5e-06,2
16,0.18717241422532546,0.3280983696813169,5e-06,2
1,0.6875503680896529,0.6789324542750483,1e-05,3
2,0.6558341008698969,0.6311464866866237,1e-05,3
3,0.5857344907652091,0.5571071816527325,1e-05,3
4,0.502802252625149,0.48707873212254565,1e-05,3
5,0.43175080505179436,0.4353560079698977,1e-05,3
6,0.3777633535948562,0.39923172022985376,1e-05,3
7,0.3375476660436926,0.37517983952294226,1e-05,3
8,0.3082151255653788,0.35793395113685855,1e-05,3
9,0.2832300603101098,0.34634606216264807,1e-05,3
10,0.2627080928976253,0.33733155805131665,1e-05,3
11,0.24520440901162838,0.33034296819697256,1e-05,3
12,0.22892479261171442,0.32426291023907455,1e-05,3
13,0.21521705172541067,0.32237924959348596,1e-05,3
14,0.20304041547073867,0.31925125452487363,1e-05,3
15,0.1916183107160483,0.31784285313409305,1e-05,3
16,0.18078465077836633,0.31715725362300873,1e-05,3
17,0.1715835547367828,0.3180301289843476,5e-06,3
1,0.6882802422629719,0.6783037716927736,1e-05,4
2,0.6584541314162007,0.6302472780580106,1e-05,4
3,0.5923224548306362,0.5558689729027126,1e-05,4
4,0.5118830695423606,0.4830715967261273,1e-05,4
